Time,Lx,Ly,Lz
91.607,0.000000,0.000000,10233.083806
91.608,0.000000,0.000000,10233.099099
91.609,0.000000,0.000000,10233.114393
91.61,0.000000,0.000000,10233.129686
91.611,0.000000,0.000000,10233.144978
91.612,0.000000,0.000000,10233.160271
91.613,0.000000,0.000000,10233.175563
91.614,0.000000,0.000000,10233.190855
91.615,0.000000,0.000000,10233.206147
91.616,0.000000,0.000000,10233.221439
91.617,0.000000,0.000000,10233.236730
91.618,0.000000,0.000000,10233.252021
91.619,0.000000,0.000000,10233.267312
91.62,0.000000,0.000000,10233.282603
91.621,0.000000,0.000000,10233.297893
91.622,0.000000,0.000000,10233.313183
91.623,0.000000,0.000000,10233.328473
91.624,0.000000,0.000000,10233.343763
91.625,0.000000,0.000000,10233.359052
91.626,0.000000,0.000000,10233.374341
91.627,0.000000,0.000000,10233.389630
91.628,0.000000,0.000000,10233.404919
91.629,0.000000,0.000000,10233.420207
91.63,0.000000,0.000000,10233.435495
91.631,0.000000,0.000000,10233.450783
91.632,0.000000,0.000000,10233.466071
91.633,0.000000,0.000000,10233.481359
91.634,0.000000,0.000000,10233.496646
91.635,0.000000,0.000000,10233.511933
91.636,0.000000,0.000000,10233.527219
91.637,0.000000,0.000000,10233.542506
91.638,0.000000,0.000000,10233.557792
91.639,0.000000,0.000000,10233.573078
91.64,0.000000,0.000000,10233.588364
91.641,0.000000,0.000000,10233.603649
91.642,0.000000,0.000000,10233.618935
91.643,0.000000,0.000000,10233.634220
91.644,0.000000,0.000000,10233.649505
91.645,0.000000,0.000000,10233.664789
91.646,0.000000,0.000000,10233.680073
91.647,0.000000,0.000000,10233.695357
91.648,0.000000,0.000000,10233.710641
91.649,0.000000,0.000000,10233.725925
91.65,0.000000,0.000000,10233.741208
91.651,0.000000,0.000000,10233.756491
91.652,0.000000,0.000000,10233.771774
91.653,0.000000,0.000000,10233.787057
91.654,0.000000,0.000000,10233.802339
91.655,0.000000,0.000000,10233.817621
91.656,0.000000,0.000000,10233.832903
91.657,0.000000,0.000000,10233.848185
91.658,0.000000,0.000000,10233.863466
91.659,0.000000,0.000000,10233.878747
91.66,0.000000,0.000000,10233.894028
91.661,0.000000,0.000000,10233.909309
91.662,0.000000,0.000000,10233.924589
91.663,0.000000,0.000000,10233.939869
91.664,0.000000,0.000000,10233.955149
91.665,0.000000,0.000000,10233.970429
91.666,0.000000,0.000000,10233.985708
91.667,0.000000,0.000000,10234.000987
91.668,0.000000,0.000000,10234.016266
91.669,0.000000,0.000000,10234.031545
91.67,0.000000,0.000000,10234.046823
91.671,0.000000,0.000000,10234.062102
91.672,0.000000,0.000000,10234.077380
91.673,0.000000,0.000000,10234.092657
91.674,0.000000,0.000000,10234.107935
91.675,0.000000,0.000000,10234.123212
91.676,0.000000,0.000000,10234.138489
91.677,0.000000,0.000000,10234.153766
91.678,0.000000,0.000000,10234.169042
91.679,0.000000,0.000000,10234.184318
91.68,0.000000,0.000000,10234.199595
91.681,0.000000,0.000000,10234.214870
91.682,0.000000,0.000000,10234.230146
91.683,0.000000,0.000000,10234.245421
91.684,0.000000,0.000000,10234.260696
91.685,0.000000,0.000000,10234.275971
91.686,0.000000,0.000000,10234.291245
91.687,0.000000,0.000000,10234.306520
91.688,0.000000,0.000000,10234.321794
91.689,0.000000,0.000000,10234.337068
91.69,0.000000,0.000000,10234.352341
91.691,0.000000,0.000000,10234.367615
91.692,0.000000,0.000000,10234.382888
91.693,0.000000,0.000000,10234.398160
91.694,0.000000,0.000000,10234.413433
91.695,0.000000,0.000000,10234.428705
91.696,0.000000,0.000000,10234.443978
91.697,0.000000,0.000000,10234.459249
91.698,0.000000,0.000000,10234.474521
91.699,0.000000,0.000000,10234.489792
91.7,0.000000,0.000000,10234.505064
91.701,0.000000,0.000000,10234.520334
91.702,0.000000,0.000000,10234.535605
91.703,0.000000,0.000000,10234.550875
91.704,0.000000,0.000000,10234.566146
91.705,0.000000,0.000000,10234.581416
91.706,0.000000,0.000000,10234.596685
91.707,0.000000,0.000000,10234.611955
91.708,0.000000,0.000000,10234.627224
91.709,0.000000,0.000000,10234.642493
91.71,0.000000,0.000000,10234.657761
91.711,0.000000,0.000000,10234.673030
91.712,0.000000,0.000000,10234.688298
91.713,0.000000,0.000000,10234.703566
91.714,0.000000,0.000000,10234.718834
91.715,0.000000,0.000000,10234.734101
91.716,0.000000,0.000000,10234.749368
91.717,0.000000,0.000000,10234.764635
91.718,0.000000,0.000000,10234.779902
91.719,0.000000,0.000000,10234.795169
91.72,0.000000,0.000000,10234.810435
91.721,0.000000,0.000000,10234.825701
91.722,0.000000,0.000000,10234.840967
91.723,0.000000,0.000000,10234.856232
91.724,0.000000,0.000000,10234.871497
91.725,0.000000,0.000000,10234.886762
91.726,0.000000,0.000000,10234.902027
